Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Road_surface_type,Road_surface_conditions,Weather_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Owner_of_vehicle,Service_year_of_vehicle,Fitness_of_casuality,Pedestrian_movement,Casualty_severity_label
17:02:00,Monday,18-30,Male,1-2yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside-parked vehicles,2,2,Going straight,No Casualty,No Casualty,No Casualty,Moving Backward,Slight Injury,Owner,Above 10yr,No Casualty,Not a Pedestrian,No Casualty
17:02:00,Monday,31-50,Male,Above 10yr,Public (> 45 seats),Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,2,Going straight,No Casualty,No Casualty,No Casualty,Overtaking,Slight Injury,Owner,5-10yrs,No Casualty,Not a Pedestrian,No Casualty
17:02:00,Monday,18-30,Male,1-2yr,Lorry (41-100Q),Recreational areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside objects,2,2,Going straight,Male,31-50,3,Changing lane to the left,Serious Injury,Owner,Unknown,No Casualty,Not a Pedestrian,Slight Injury
01:06:00,Sunday,18-30,Male,5-10yr,Public (> 45 seats),Office areas,Earth roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,2,Going straight,Female,18-30,3,Changing lane to the right,Slight Injury,Governmental,Unknown,Normal,Not a Pedestrian,Slight Injury
01:06:00,Sunday,18-30,Male,2-5yr,Automobile,Industrial areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,2,Going straight,No Casualty,No Casualty,No Casualty,Overtaking,Slight Injury,Owner,5-10yrs,No Casualty,Not a Pedestrian,No Casualty
14:15:00,Friday,31-50,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,1,U-Turn,Male,31-50,3,Overloading,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
17:30:00,Wednesday,18-30,Male,2-5yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,1,1,Moving Backward,Female,18-30,3,Other,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
17:20:00,Friday,18-30,Male,2-5yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,U-Turn,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Governmental,Above 10yr,Normal,Not a Pedestrian,No Casualty
17:20:00,Friday,18-30,Male,Above 10yr,Lorry (41-100Q),Industrial areas,Earth roads,Dry,Normal,Daylight,Collision with roadside-parked vehicles,2,1,Going straight,Male,Under 18,3,Changing lane to the right,Slight Injury,Owner,1-2yr,Normal,Crossing from driver's nearside,Slight Injury
17:20:00,Friday,18-30,Male,1-2yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with roadside-parked vehicles,2,1,U-Turn,Male,18-30,3,Moving Backward,Serious Injury,Owner,2-5yrs,Normal,Not a Pedestrian,Slight Injury
14:40:00,Friday,18-30,Male,1-2yr,Public (13-45 seats),Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,1,Turnover,No Casualty,No Casualty,No Casualty,Changing lane to the left,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
14:40:00,Friday,31-50,Male,5-10yr,Automobile,Office areas,Earth roads,Dry,Normal,Daylight,Collision with animals,2,1,Going straight,Male,18-30,3,No priority to pedestrian,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
17:45:00,Thursday,18-30,Male,1-2yr,Public (> 45 seats),Office areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,2,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Owner,2-5yrs,Normal,Not a Pedestrian,No Casualty
17:45:00,Thursday,31-50,Male,5-10yr,Lorry (41-100Q),Office areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,2,Waiting to go,No Casualty,No Casualty,No Casualty,No priority to vehicle,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,No Casualty
17:45:00,Thursday,31-50,Male,Above 10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Collision with animals,2,2,Going straight,Female,18-30,3,No distancing,Serious Injury,Owner,1-2yr,Normal,Not a Pedestrian,Slight Injury
22:45:00,Monday,18-30,Female,Above 10yr,Lorry (11-40Q),Office areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Collision with animals,2,3,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Serious Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
22:45:00,Monday,18-30,Male,5-10yr,Public (13-45 seats),Office areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Collision with animals,2,3,Going straight,No Casualty,No Casualty,No Casualty,Moving Backward,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
22:45:00,Monday,18-30,Male,2-5yr,Public (13-45 seats),Office areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Collision with animals,2,3,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
